Statistikdatum,Region,Cases
2020-07-10,Dalarna,6
2020-07-11,Dalarna,5
2020-07-12,Dalarna,0
2020-07-13,Dalarna,12
2020-07-14,Dalarna,11
2020-07-15,Dalarna,1
2020-07-16,Dalarna,9
2020-07-17,Dalarna,5
2020-07-18,Dalarna,9
2020-07-19,Dalarna,5
2020-07-20,Dalarna,1
2020-07-21,Dalarna,11
2020-07-22,Dalarna,4
2020-07-23,Dalarna,4
2020-07-24,Dalarna,8
2020-07-25,Dalarna,2
2020-07-26,Dalarna,0
2020-07-27,Dalarna,1
2020-07-28,Dalarna,3
2020-07-29,Dalarna,3
2020-07-30,Dalarna,4
2020-07-31,Dalarna,11
2020-08-01,Dalarna,4
2020-08-02,Dalarna,1
2020-08-03,Dalarna,0
2020-08-04,Dalarna,8
2020-08-05,Dalarna,15
2020-08-06,Dalarna,9
2020-08-07,Dalarna,4
2020-08-08,Dalarna,6
2020-08-09,Dalarna,6
2020-08-10,Dalarna,4
2020-08-11,Dalarna,5
2020-08-12,Dalarna,6
2020-08-13,Dalarna,10
2020-08-14,Dalarna,8
2020-08-15,Dalarna,2
2020-08-16,Dalarna,1
2020-08-17,Dalarna,5
2020-08-18,Dalarna,8
2020-08-19,Dalarna,7
2020-08-20,Dalarna,5
2020-08-21,Dalarna,9
2020-08-22,Dalarna,4
2020-08-23,Dalarna,4
2020-08-24,Dalarna,5
2020-08-25,Dalarna,10
2020-08-26,Dalarna,8
2020-08-27,Dalarna,11
2020-08-28,Dalarna,7
2020-08-29,Dalarna,11
2020-08-30,Dalarna,4
2020-08-31,Dalarna,6
2020-09-01,Dalarna,13
2020-09-02,Dalarna,13
2020-09-03,Dalarna,10
2020-09-04,Dalarna,6
2020-09-05,Dalarna,5
2020-09-06,Dalarna,3
2020-09-07,Dalarna,4
2020-09-08,Dalarna,11
2020-09-09,Dalarna,16
2020-09-10,Dalarna,15
2020-09-11,Dalarna,9
2020-09-12,Dalarna,16
2020-09-13,Dalarna,8
2020-09-14,Dalarna,18
2020-09-15,Dalarna,27
2020-09-16,Dalarna,24
2020-09-17,Dalarna,18
2020-09-18,Dalarna,33
2020-09-19,Dalarna,18
2020-09-20,Dalarna,26
2020-09-21,Dalarna,6
2020-09-22,Dalarna,20
2020-09-23,Dalarna,15
2020-09-24,Dalarna,13
2020-09-25,Dalarna,17
2020-09-26,Dalarna,11
2020-09-27,Dalarna,6
2020-09-28,Dalarna,4
2020-09-29,Dalarna,4
2020-09-30,Dalarna,23
2020-10-01,Dalarna,21
2020-10-02,Dalarna,24
2020-10-03,Dalarna,14
2020-10-04,Dalarna,11
2020-10-05,Dalarna,1
2020-10-06,Dalarna,7
2020-10-07,Dalarna,32
2020-10-08,Dalarna,16
2020-10-09,Dalarna,13
2020-10-10,Dalarna,15
2020-10-11,Dalarna,0
2020-10-12,Dalarna,30
2020-10-13,Dalarna,10
2020-10-14,Dalarna,35
2020-02-05,Gotland,0
2020-02-06,Gotland,0
2020-02-07,Gotland,0
2020-02-08,Gotland,0
2020-02-09,Gotland,0
2020-02-10,Gotland,0
2020-02-11,Gotland,0
2020-02-12,Gotland,0
2020-02-13,Gotland,0
