data,codice_regione,denominazione_regione,nuovi_positivi
2020-03-07 18:00:00,9,Toscana,34
2020-03-07 18:00:00,22,P.A. Trento,4
2020-03-07 18:00:00,10,Umbria,8
2020-03-07 18:00:00,2,Valle d'Aosta,1
2020-03-07 18:00:00,5,Veneto,55
2020-03-08 18:00:00,13,Abruzzo,6
2020-03-08 18:00:00,17,Basilicata,1
2020-03-08 18:00:00,21,P.A. Bolzano,0
2020-03-08 18:00:00,18,Calabria,5
2020-03-08 18:00:00,15,Campania,40
2020-03-08 18:00:00,8,Emilia-Romagna,170
2020-03-08 18:00:00,6,Friuli Venezia Giulia,15
2020-03-08 18:00:00,12,Lazio,11
2020-03-08 18:00:00,7,Liguria,27
2020-03-08 18:00:00,3,Lombardia,769
2020-03-08 18:00:00,11,Marche,65
2020-03-08 18:00:00,14,Molise,0
2020-03-08 18:00:00,1,Piemonte,153
2020-03-08 18:00:00,16,Puglia,14
2020-03-08 18:00:00,20,Sardegna,6
2020-03-08 18:00:00,19,Sicilia,18
2020-03-08 18:00:00,9,Toscana,53
2020-03-08 18:00:00,22,P.A. Trento,9
2020-03-08 18:00:00,10,Umbria,2
2020-03-08 18:00:00,2,Valle d'Aosta,1
2020-03-08 18:00:00,5,Veneto,127
2020-03-09 18:00:00,13,Abruzzo,13
2020-03-09 18:00:00,17,Basilicata,1
2020-03-09 18:00:00,21,P.A. Bolzano,0
2020-03-09 18:00:00,18,Calabria,2
2020-03-09 18:00:00,15,Campania,19
2020-03-09 18:00:00,8,Emilia-Romagna,206
2020-03-09 18:00:00,6,Friuli Venezia Giulia,36
2020-03-09 18:00:00,12,Lazio,15
2020-03-09 18:00:00,7,Liguria,31
2020-03-09 18:00:00,3,Lombardia,1280
2020-03-09 18:00:00,11,Marche,51
2020-03-09 18:00:00,14,Molise,0
2020-03-09 18:00:00,1,Piemonte,-10
2020-03-09 18:00:00,16,Puglia,10
2020-03-09 18:00:00,20,Sardegna,8
2020-03-09 18:00:00,19,Sicilia,1
2020-03-09 18:00:00,9,Toscana,42
2020-03-09 18:00:00,22,P.A. Trento,10
2020-03-09 18:00:00,10,Umbria,2
2020-03-09 18:00:00,2,Valle d'Aosta,6
2020-03-09 18:00:00,5,Veneto,74
2020-03-10 18:00:00,13,Abruzzo,8
2020-03-10 18:00:00,17,Basilicata,2
2020-03-10 18:00:00,21,P.A. Bolzano,29
2020-03-10 18:00:00,18,Calabria,2
2020-03-10 18:00:00,15,Campania,7
2020-03-10 18:00:00,8,Emilia-Romagna,147
2020-03-10 18:00:00,6,Friuli Venezia Giulia,23
2020-03-10 18:00:00,12,Lazio,14
2020-03-10 18:00:00,7,Liguria,32
2020-03-10 18:00:00,3,Lombardia,322
2020-03-10 18:00:00,11,Marche,71
2020-03-10 18:00:00,14,Molise,1
2020-03-10 18:00:00,1,Piemonte,103
2020-03-10 18:00:00,16,Puglia,9
2020-03-10 18:00:00,20,Sardegna,1
2020-03-10 18:00:00,19,Sicilia,8
2020-03-10 18:00:00,9,Toscana,56
2020-03-10 18:00:00,22,P.A. Trento,19
2020-03-10 18:00:00,10,Umbria,9
2020-03-10 18:00:00,2,Valle d'Aosta,2
2020-03-10 18:00:00,5,Veneto,112
2020-03-11 17:00:00,13,Abruzzo,0
2020-03-11 17:00:00,17,Basilicata,1
2020-03-11 17:00:00,21,P.A. Bolzano,37
2020-03-11 17:00:00,18,Calabria,6
2020-03-11 17:00:00,15,Campania,27
2020-03-11 17:00:00,8,Emilia-Romagna,206
2020-03-11 17:00:00,6,Friuli Venezia Giulia,10
2020-03-11 17:00:00,12,Lazio,34
2020-03-11 17:00:00,7,Liguria,53
2020-03-11 17:00:00,3,Lombardia,1489
2020-03-11 17:00:00,11,Marche,85
2020-03-11 17:00:00,14,Molise,1
2020-03-11 17:00:00,1,Piemonte,48
2020-03-11 17:00:00,16,Puglia,18
2020-03-11 17:00:00,20,Sardegna,17
2020-03-11 17:00:00,19,Sicilia,21
2020-03-11 17:00:00,9,Toscana,56
2020-03-11 17:00:00,22,P.A. Trento,25
2020-03-11 17:00:00,10,Umbria,9
2020-03-11 17:00:00,2,Valle d'Aosta,3
2020-03-11 17:00:00,5,Veneto,167
2020-03-12 17:00:00,13,Abruzzo,46
2020-03-12 17:00:00,17,Basilicata,0
2020-03-12 17:00:00,21,P.A. Bolzano,29
2020-03-12 17:00:00,18,Calabria,14
2020-03-12 17:00:00,15,Campania,25
2020-03-12 17:00:00,8,Emilia-Romagna,208
2020-03-12 17:00:00,6,Friuli Venezia Giulia,41
2020-03-12 17:00:00,12,Lazio,50
2020-03-12 17:00:00,7,Liguria,80
2020-03-12 17:00:00,3,Lombardia,1445
2020-03-12 17:00:00,11,Marche,113
2020-03-12 17:00:00,14,Molise,0
2020-03-12 17:00:00,1,Piemonte,79
2020-03-12 17:00:00,16,Puglia,27
2020-03-12 17:00:00,20,Sardegna,2
2020-03-12 17:00:00,19,Sicilia,32
2020-03-12 17:00:00,9,Toscana,44
2020-03-12 17:00:00,22,P.A. Trento,30
2020-03-12 17:00:00,10,Umbria,18
2020-03-12 17:00:00,2,Valle d'Aosta,7
2020-03-12 17:00:00,5,Veneto,361
2020-03-13 17:00:00,13,Abruzzo,5
2020-03-13 17:00:00,17,Basilicata,2
